fips,state_name,county_name,month,haz_days
30075,Montana,Powder River,9,1.6
06007,California,Butte,6,1.6
49049,Utah,Utah,2,1.6
06039,California,Madera,10,1.6
08067,Colorado,La Plata,7,1.6
08031,Colorado,Denver,7,1.6
48167,Texas,Galveston,4,1.6
18127,Indiana,Porter,7,1.6
21101,Kentucky,Henderson,6,1.6
09009,Connecticut,New Haven,9,1.6
35013,New Mexico,Dona Ana,5,1.6
09009,Connecticut,New Haven,5,1.6
06085,California,Santa Clara,8,1.6
21111,Kentucky,Jefferson,9,1.6
42003,Pennsylvania,Allegheny,6,1.6
06059,California,Orange,4,1.6
42027,Pennsylvania,Centre,7,1.6
22047,Louisiana,Iberville,6,1.6
06029,California,Kern,12,1.6
06001,California,Alameda,9,1.6
30075,Montana,Powder River,8,1.6
24005,Maryland,Baltimore,8,1.6
26147,Michigan,St Clair,7,1.4
48349,Texas,Navarro,9,1.4
24003,Maryland,Anne Arundel,9,1.4
37021,North Carolina,Buncombe,11,1.4
49049,Utah,Utah,6,1.4
13245,Georgia,Richmond,11,1.4
06111,California,Ventura,12,1.4
47009,Tennessee,Blount,11,1.4
18167,Indiana,Vigo,2,1.4
49047,Utah,Uintah,6,1.4
48245,Texas,Jefferson,4,1.4
18097,Indiana,Marion,7,1.4
55079,Wisconsin,Milwaukee,5,1.4
12057,Florida,Hillsborough,4,1.4
06095,California,Solano,9,1.4
22047,Louisiana,Iberville,5,1.4
24510,Maryland,Baltimore City,9,1.4
06001,California,Alameda,7,1.4
48121,Texas,Denton,7,1.4
29189,Missouri,St Louis,7,1.4
06007,California,Butte,9,1.4
10003,Delaware,New Castle,5,1.4
18141,Indiana,St Joseph,5,1.4
26163,Michigan,Wayne,6,1.4
42011,Pennsylvania,Berks,5,1.4
42095,Pennsylvania,Northampton,5,1.4
39151,Ohio,Stark,6,1.4
06013,California,Contra Costa,8,1.4
09003,Connecticut,Hartford,5,1.4
06025,California,Imperial,1,1.4
49005,Utah,Cache,8,1.4
47163,Tennessee,Sullivan,5,1.4
34003,New Jersey,Bergen,5,1.4
48439,Texas,Tarrant,5,1.4
08013,Colorado,Boulder,6,1.4
49049,Utah,Utah,9,1.4
39023,Ohio,Clark,6,1.4
49003,Utah,Box Elder,1,1.4
17163,Illinois,St Clair,6,1.4
36013,New York,Chautauqua,5,1.4
06111,California,Ventura,4,1.4
38013,North Dakota,Burke,7,1.4
34023,New Jersey,Middlesex,5,1.4
26147,Michigan,St Clair,9,1.4
32031,Nevada,Washoe,6,1.4
06025,California,Imperial,8,1.4
09003,Connecticut,Hartford,7,1.4
24003,Maryland,Anne Arundel,5,1.4
42011,Pennsylvania,Berks,6,1.4
37119,North Carolina,Mecklenburg,5,1.4
35001,New Mexico,Bernalillo,8,1.4
44003,Rhode Island,Kent,5,1.4
53033,Washington,King,7,1.4
48167,Texas,Galveston,5,1.4
42017,Pennsylvania,Bucks,9,1.4
45091,South Carolina,York,7,1.4
22033,Louisiana,East Baton Rouge,7,1.4
06057,California,Nevada,5,1.4
24033,Maryland,Prince Georges,6,1.4
08123,Colorado,Weld,6,1.4
48453,Texas,Travis,8,1.4
13121,Georgia,Fulton,9,1.4
25027,Massachusetts,Worcester,5,1.4
06085,California,Santa Clara,9,1.4
42133,Pennsylvania,York,9,1.4
35045,New Mexico,San Juan,6,1.4
08045,Colorado,Garfield,8,1.4
53073,Washington,Whatcom,7,1.4
55059,Wisconsin,Kenosha,8,1.4
48029,Texas,Bexar,5,1.4
08123,Colorado,Weld,8,1.4
49011,Utah,Davis,1,1.4
25005,Massachusetts,Bristol,5,1.4
32003,Nevada,Clark,5,1.4
48113,Texas,Dallas,5,1.2
37119,North Carolina,Mecklenburg,9,1.2
48139,Texas,Ellis,7,1.2
18089,Indiana,Lake,6,1.2
42101,Pennsylvania,Philadelphia,5,1.2
49035,Utah,Salt Lake,9,1.2
34007,New Jersey,Camden,9,1.2
42045,Pennsylvania,Delaware,9,1.2
49003,Utah,Box Elder,2,1.2
09003,Connecticut,Hartford,9,1.2
39049,Ohio,Franklin,6,1.2
06039,California,Madera,2,1.2
48453,Texas,Travis,7,1.2
42091,Pennsylvania,Montgomery,5,1.2
06095,California,Solano,1,1.2
48027,Texas,Bell,5,1.2
42003,Pennsylvania,Allegheny,12,1.2
08041,Colorado,El Paso,7,1.2
44003,Rhode Island,Kent,6,1.2
