fips,mean,sdi,sdi_score
29039,7.5343195266272192,0.24325889,57
29047,6.1658402203856744,-1.2846804,12
29077,7.1930930930930925,0.57022047,68
29095,7.933169291338583,0.27628112,58
29099,6.58204334365325,-1.0709193,17
29189,9.0390776699029125,-1.0512254,18
29510,9.3364053186611642,1.3212615,94
30027,3.8022471910112356,-0.29889378,40
30029,6.6621169916434537,-1.1264027,15
30031,0.915,-0.95873094,20
30049,5.6580165289256188,-1.2472223,13
30053,11.614164305949007,-0.16269347,44
30063,7.8329183955739969,-0.32103252,39
30071,4.0473972602739732,-0.83767492,22
30075,5.3315492957746473,-1.1999552,13
30081,4.6126721763085392,-0.85672778,22
30083,4.4935933147632312,-1.1348242,15
30087,4.297694524495677,0.33291847,60
30093,5.6546987951807219,0.12292602,53
30111,6.0085034013605449,-0.94868994,20
31055,6.7861370716510905,-0.2228339,42
31079,5.0649484536082472,0.16864046,54
31109,6.43657142857143,-0.49128109,33
31153,7.8388571428571439,-1.580346,6
31157,4.8353982300884955,-0.10290594,46
31177,6.512931034482758,-1.7832828,3
32003,6.1876609442060087,0.71061862,73
32005,3.8410112359550563,-1.1515511,14
32031,4.6365110246433208,-0.0034018029,49
32510,4.3673076923076932,0.28742611,58
33001,3.6976430976430974,-1.5245,7
33005,4.99811320754717,-1.2163644,13
33009,4.866944444444445,-1.088508,16
33011,3.0865384615384621,-1.1070675,15
33015,5.1250309789343245,-1.9812906,1
34001,6.6950086058519789,0.23587935,57
34003,9.9972103004291828,-1.1094227,15
34007,9.30678233438486,-0.017212037,48
34011,7.7984756097560988,1.1996588,91
34013,8.6815618221258148,1.3363227,94
34015,7.1389830508474574,-1.6357156,5
34017,8.1974910394265219,1.1748898,90
34019,7.785955056179775,-2.0720546,1
34021,7.5870229007633583,-0.071484856,47
34023,7.6201716738197423,-0.54795039,32
34027,5.553097345132743,-1.7922498,3
34029,6.2594202898550737,-1.087926,16
34031,7.6734513274336287,1.2084925,91
34039,8.589263531499558,0.050751194,51
34041,7.2835616438356174,-1.3496994,11
35001,6.126920000000001,0.74499094,75
35013,6.3030030030030035,1.4286606,96
35025,7.5172307692307694,0.9768908,80
35049,2.8742937853107344,-0.18990362,43
35055,4.9519774011299429,0.37379959,61
36001,6.6197885196374635,-0.19518736,43
36005,7.9991721854304645,2.1174226,100
36013,5.9295652173913043,0.54846388,67
36029,6.6667487684729059,-0.09736523,46
36031,2.846,-0.76643401,25
36047,7.5923728813559324,1.6776347,98
36055,6.3329842931937179,0.10438935,52
36061,7.8775956284153006,1.0742091,82
36067,6.106315789473685,0.061088298,51
36071,5.8262711864406782,-0.1761173,43
36081,6.493764988009592,0.69445086,72
36085,7.5663793103448276,-0.15362887,44
36101,5.6925847457627121,-0.33538774,38
36103,6.4080357142857141,-1.3665233,10
37021,6.0511002444987767,-0.3851873,37
37035,8.0177083333333332,-0.008136956,48
37051,7.4179265658747306,0.9438619,80
37057,8.6734999999999971,0.36824578,61
37063,7.7546391752577311,0.77092367,77
37067,8.5713636363636354,0.74051368,75
37081,6.84129213483146,0.71668005,74
37099,6.5147651006711413,0.70511651,73
37101,8.0865168539325847,-0.2785216,40
37119,8.7799790356394141,-0.14064063,44
37121,5.5396396396396392,-0.45010191,34
37123,7.8764872521246456,0.69190389,72
37129,3.8401294498381877,0.21135509,55
37131,8.01056338028169,0.98446375,80
37147,6.7234449760765553,1.2599006,93
37159,8.9735294117647069,0.58922493,68
37173,7.15933734939759,0.86159343,79
37183,8.8089965397923891,-0.96008945,19
38007,3.4316666666666671,-1.3940879,10
38013,3.452148997134671,-1.8186942,2
38015,5.35181347150259,-1.2638431,12
38017,6.4386363636363635,-0.60531366,30
38025,4.1261971830985917,-1.2125553,13
38053,3.5691218130311615,-0.1083145,46
38057,4.7771001150747985,-1.6006289,6
38065,4.5512676056338028,-1.5165085,8
38101,4.4985915492957753,-0.89442432,21
38105,4.0274509803921568,-0.47601545,34
39003,7.2993227990970659,-0.061643444,47
39009,6.394166666666667,1.0242472,81
39013,8.6580645161290324,-0.59374529,31
39017,9.9874999999999972,-0.45217109,34
39023,9.8306079664570234,0.26646778,57
39035,9.2051470588235311,0.72261155,74
39049,9.3785435630689218,0.53579921,66
39061,9.8794273594909843,0.4720054,64
39067,7.5754385964912281,0.17550558,54
39081,8.9313609467455617,0.23365262,57
39085,6.5183333333333326,-1.4606663,9
39087,6.7643478260869561,0.44988102,64
39093,7.1051136363636349,-0.32710806,39
39095,8.2412103746397669,0.82452923,78
39099,8.09939024390244,0.31785175,60
39103,8.0451541850220245,-1.9334368,2
39113,9.3076923076923084,0.60935229,69
39133,7.5152380952380948,-0.68551606,27
39135,8.3829004329004331,-1.1710556,14
39145,6.7535714285714281,1.0370586,81
39151,9.5122257053291559,-0.41197091,36
39153,8.5705167173252281,-0.36297891,38
39155,7.196645702306081,0.34399104,61
40019,7.7145205479452059,0.5751887,68
40027,10.00140056022409,-0.40376958,36
40031,8.1939393939393934,0.96694821,80
40043,7.9283746556473824,-0.54034948,32
40071,7.9063013698630122,0.77383846,77
40079,7.25135135135135,0.92008138,80
40105,8.3406162464986,0.0097825751,49
40109,8.9218609865470846,0.82089388,78
40115,8.3463709677419331,1.0447308,82
40121,8.1752525252525263,0.47526234,65
40135,8.1247933884297527,1.0250072,81
40143,8.491073446327686,0.51988167,66
41013,7.7857142857142865,-0.25893307,41
